"Year","National.Class.Rank","Conference.Class.Rank","Name","Position","Height","Weight","School","City","State","Footprint","Composite.Rating","Star_Rating","National.Recruit.Rank","Position.Recruit.Rank","State.Recruit.Rank","All.ACC","All.American"
2002,11,3,"Michael Johnson","RB",70,180,"Heritage","Newport News","VA",1,0.9942,5,12,3,1,0,0
2002,11,3,"Ahmad Brooks","OLB",75,230,"C. D. Hylton","Woodbridge","VA",1,0.9914,5,20,1,2,1,1
2002,11,3,"Kai Parham","WDE",76,230,"Princess Anne","Virginia Beach","VA",1,0.9827,4,41,3,4,1,0
2002,11,3,"Anthony Martinez","PRO",76,220,"Patrick Henry","Ashland","VA",1,0.9653,4,86,4,5,0,0
2002,11,3,"Kwakou Robinson","DT",76,315,"Poly Prep","Brooklyn","NY",1,0.9,4,185,21,3,0,0
2002,11,3,"Marcus Hamilton","CB",73,180,"Centreville","Clifton","VA",1,0.9,4,200,14,7,1,0
2002,11,3,"Wali Lundy","RB",72,195,"Holy Cross","Riverside","NJ",1,0.8667,3,283,20,5,1,0
2002,11,3,"Darryl Blackstock","WDE",76,225,"Fork Union Military Academy","Fork Union","VA",1,0.8667,3,3,1,3,1,0
2002,11,3,"Stefan Orange","CB",73,180,"Culpeper County","Culpeper","VA",1,0.8667,3,322,24,10,0,0
2002,11,3,"Lance Evans","S",77,185,"Eastern","Voorhees","NJ",1,0.8667,3,373,24,9,0,0
2002,11,3,"Ronald Morton","WR",73,180,"Hamilton West-watson","Trenton","NJ",1,0.8333,3,406,37,10,0,0
2002,11,3,"Robert Jenkins","DT",76,280,"Solomon Schechter Day School Of Nassau County","Glen Cove","NY",1,0.8333,3,464,40,6,0,0
2002,11,3,"Kenneth Tynes","RB",71,185,"Centreville","Clifton","VA",1,0.8333,3,492,33,14,0,0
2002,11,3,"D'Brickashaw Ferguson","OG",77,250,"Freeport","Freeport","NY",1,0.8333,3,494,36,7,1,1
2002,11,3,"Ron Darden","OG",76,315,"Glen Burnie Senior","Glen Burnie","MD",1,0.8333,3,506,39,7,0,0
2002,11,3,"Jason Snelling","FB",73,315,"Lloyd C. Bird","Chesterfield","VA",1,0.8333,3,566,13,18,0,0
2002,11,3,"D.J. Bell","OG",76,298,"Caesar Rodney","Camden Wyoming","DE",1,0.8333,3,572,43,3,0,0
2002,11,3,"Braden Campbell","SDE",77,255,"Slippery Rock Area","Slippery Rock","PA",1,0.8333,3,577,31,23,0,0
2002,11,3,"Damian Spradlin","OG",75,290,"Liberty","Bedford","VA",1,0.8333,3,608,47,20,0,0
2002,11,3,"Tony Franklin","APB",71,175,"St Peter Chanel","Bedford","OH",1,0.8333,3,620,25,32,0,0
2002,11,3,"Willie Davis","S",75,190,"Emsley A Laney","Wilmington","NC",1,0.8333,3,652,42,22,0,0
2002,11,3,"Tom Hagan","K",74,170,"Cave Spring","Roanoke","VA",1,0.8,3,785,19,26,0,0
2002,11,3,"Robert Armstrong","DT",75,300,"Washington Lee","Arlington","VA",1,0.8,3,825,54,27,0,0
2002,11,3,"Brett Tobin","OT",78,275,"Pulaski","Pulaski","WI",3,0.8,3,881,76,4,0,0
2002,11,3,"Brad Butler","OT",80,265,"E. C. Glass","Lynchburg","VA",1,0.8,3,887,78,28,0,0
2003,11,2,"Jordy Lipsey","OC",76,270,"Lake Brantley","Altamonte Springs","FL",2,0.9785,4,45,1,8,0,0
2003,11,2,"Phillip Brown","CB",71,185,"Phoebus","Hampton","VA",1,0.9713,4,61,6,1,0,0
2003,11,2,"Jonathan Stupar","TE",77,245,"State College Area","State College","PA",1,0.9659,4,67,6,2,0,0
2003,11,2,"Jermaine Dias","OLB",74,215,"Hackensack","Hackensack","NJ",1,0.9416,4,85,5,5,0,0
2003,11,2,"Ian-Yates Cunningham","OG",77,300,"Hebron","Carrollton","TX",3,0.9392,4,98,5,12,0,0
2003,11,2,"Kevin McCabe","PRO",76,205,"Pine-Richland","Gibsonia","PA",1,0.9012,4,132,8,6,0,0
2003,11,2,"Jermaine Dias","OLB",74,215,"Hackensack","Hackensack","NJ",1,0.8667,3,207,8,10,0,0
2003,11,2,"Vince Redd","SDE",79,240,"Elizabethton","Elizabethton","TN",1,0.8667,3,219,14,3,0,0
2003,11,2,"Allen Billyk","SDE",76,260,"New Castle","New Castle","PA",1,0.8333,3,385,20,13,0,0
2003,11,2,"Keenan Carter","DT",75,325,"Fork Union Military Academy","Fork Union","VA",1,0.8333,3,11,4,10,0,0
2003,11,2,"Gordie Sammis","OG",77,290,"Immaculata","Somerville","NJ",1,0.8333,3,511,41,23,0,0
2003,11,2,"Shannon Lane","WR",72,190,"Salem","Virginia Beach","VA",1,0.8333,3,519,46,12,0,0
2003,11,2,"Robbie Catterton","S",75,190,"Floyd Kellam","Virginia Beach","VA",1,0.8333,3,537,29,14,0,0
2003,11,2,"Fontel Mines","WR",77,210,"Hermitage","Richmond","VA",1,0.8333,3,624,60,15,0,0
2003,11,2,"Marshall Ausberry","OG",78,330,"West Springfield","Springfield","VA",1,0.8,3,717,56,17,0,0
2003,11,2,"Emmanuel Byers","WR",70,170,"Lucy Ragsdale","Jamestown","NC",1,0.8,3,825,85,18,0,0
2003,11,2,"Eddie Pinigis","OT",80,285,"Jefferson Forest","Forest","VA",1,0.8,3,924,71,22,0,0
2003,11,2,"Marvin Richardson","OLB",76,210,"East Orange Campus","East Orange","NJ",1,0.8,3,940,60,40,0,0
2003,11,2,"Chris Johnson","DT",78,275,"Charlottesville","Charlottesville","VA",1,0.7667,2,0,84,28,0,0
2003,11,2,"Deyon Williams","WR",75,185,"Suitland","District Heights","MD",1,0.7667,2,0,192,23,1,0
2003,11,2,"Danny Prentice","OLB",73,221,"Flint Hill School","Oakton","VA",1,0.7667,2,0,105,36,0,0
2004,37,6,"Olu Hall","WDE",77,220,"Robinson Secondary","Fairfax","VA",1,0.9739,4,68,6,1,0,0
2004,37,6,"Chris Long","SDE",76,262,"Charlottesville","Charlottesville","VA",1,0.9,4,176,9,4,1,1
2004,37,6,"Nate Lyles","CB",72,195,"Hubbard","Chicago","IL",3,0.8778,3,290,19,8,0,0
2004,37,6,"Chris Gorham","CB",72,175,"Pottsgrove ","Pottstown","PA",1,0.8556,3,356,24,18,0,0
2004,37,6,"Ahmad Bradshaw","CB",70,185,"Graham","Bluefield","VA",1,0.8556,3,437,32,8,0,0
2004,37,6,"Cedric Peerman","APB",70,185,"William Campbell","Nathalie","VA",1,0.8333,3,452,12,10,1,0
2004,37,6,"Tom Santi","TE",77,225,"Montgomery Bell Academy","Nashville","TN",1,0.8333,3,494,21,9,1,0
2004,37,6,"James Terry","OLB",75,225,"Fork Union Military Academy","Fork Union","VA",1,0.8333,3,10,1,10,0,0
2004,37,6,"Clint Sintim","SDE",75,254,"Gar-field","Woodbridge","VA",1,0.8333,3,567,35,13,1,0
2004,37,6,"Jon Kirchner","DT",77,260,"Rockbridge County","Lexington","VA",1,0.8333,3,572,48,14,0,0
2004,37,6,"Devonta Brown","ILB",74,238,"Charlottesville","Charlottesville","VA",1,0.8111,3,757,43,17,0,0
2004,37,6,"Chris Gould","K",73,185,"Central Mountain","Mill Hall","PA",1,0.7889,2,944,15,40,0,0
2004,37,6,"Zak Stair","OT",78,285,"Osbourn Park","Manassas","VA",1,0.7667,2,997,70,24,0,0
2004,37,6,"Jamaal Jackson","S",75,205,"Deep Creek","Chesapeake","VA",1,0.7667,2,0,69,25,0,0
2004,37,6,"Scott Deke","PRO",74,215,"Loyola","Los Angeles","CA",3,0.7444,2,0,66,234,0,0
2004,37,6,"Theirrien Davis","S",72,190,"Eleanor Roosevelt","Greenbelt","MD",1,0.7444,2,0,143,28,0,0
